음악당#관현악#2022 신년음악회#2022-01-05#콘서트홀
음악당#클래식#가곡으로 여는 첫 신년음악회, 2022 굿모닝 가곡#2022-01-07#콘서트홀
음악당#교향곡#코리안심포니 예술감독 다비트 라일란트 취임연주회 - 빛을 향해#2022-01-23#콘서트홀
음악당#클래식#한화생명과 함께하는 예술의전당 11시 콘서트(1월)#2022-01-27#콘서트홀
음악당#클래식#KT와 함께하는 예술의전당 마음을 담은 클래식(1월)#2022-01-28#콘서트홀
음악당#교향곡#KBS교향약단 제774회 정기연주회(01.28)#2022-01-28#콘서트홀
음악당#교향곡#2022 서울시향 오스모 벤스케의 모차르트 레퀴엠 ①#2022-01-29#콘서트홀
음악당#교향곡#2022 서울시향 오스모 벤스케의 모차르트 레퀴엠 ②#2022-01-30#콘서트홀
음악당#독주#윤여훈 첼로 독주회#2022-01-08#IBK챔버홀
음악당#성악#소프라노 변지영 귀국 독창회#2022-01-08#IBK챔버홀
음악당#클래식#The Cellists of KNUA#2022-01-09#IBK챔버홀
음악당#클래식#소프라노 홍혜란의 HOPE#2022-01-23#IBK챔버홀
음악당#독주#김영욱 손정범 듀오 리사이틀 1#2022-01-25#IBK챔버홀
음악당#클래식#2022 예술의전당 아티스트 라운지 (1월)#2022-01-26#IBK챔버홀
음악당#실내악#에드 무지카의 신년 음악회#2022-01-27#IBK챔버홀
음악당#클래식#황지희 귀국 피아노 반주 리사이틀#2022-01-28#IBK챔버홀
음악당#실내악#이원해 & 이효주 듀오 리사이틀#2022-01-29#IBK챔버홀
음악당#독주#강보라 바이올린 독주회#2022-01-09#리사이틀홀
음악당#독주#최규원 귀국 더블베이스 독주회#2022-01-09#리사이틀홀
음악당#독주#이현주 플루트 독주회 Chronicle X. La Flute d Or#2022-01-23#리사이틀홀
음악당#독주#최재원 바이올린 독주회#2022-01-23#리사이틀홀
음악당#독주#홍청의 반주 리사이틀#2022-01-25#리사이틀홀
음악당#독주#김우중 오보에 독주회#2022-01-26#리사이틀홀
음악당#독주#오상은 하프 독주회#2022-01-27#리사이틀홀
음악당#성악#소프라노 최재연 귀국 독창회#2022-01-28#리사이틀홀
음악당#독주#김정연 바이올린 독주회#2022-01-29#리사이틀홀
음악당#독주#왕명호 플루트 독주회#2022-01-30#리사이틀홀
음악당#독주#장종선 클라리넷 독주회#2022-01-30#리사이틀홀
음악당#실내악#박경민 전미미 피아노 듀오 리사이틀#2022-01-23#인춘아트홀
음악당#복합장르#조훈 작곡발표회 - Finding the Sacred Tree#2022-01-25#인춘아트홀
음악당#독주#송민지 피아노 독주회#2022-01-26#인춘아트홀
음악당#교향곡#김하은 피아노 독주회#2022-01-27#인춘아트홀
음악당#독주#피아니스트 김현정의 어울림 II#2022-01-28#인춘아트홀
